module/name	submodule/io	submodule/name	group/name	subgroup-1/name	subgroup-2/name	subgroup-3/name 	variable/name	cpp/class	cpp/function	cpp/parameter
Contain	output	Fire	Fire Size - at resource arrival time				Fire Perimeter - at resource arrival time	SIGContainAdapter	getPerimeterAtInitialAttack
Contain	output	Fire	Resources				Number of Resources Used	SIGContainAdapter	getResourcesUsed
Contain	output	Fire	Fire Size - at resource arrival time				Fire Area - at resource arrival time	SIGContainAdapter	getFireSizeAtInitialAttack
Contain	output	Fire	Containment				Contain Status	SIGContainAdapter	getContainmentStatus
Contain	output	Fire	Containment				Contained Area	SIGContainAdapter	getFinalContainmentArea
Contain	output	Fire	Containment				Time from Report	SIGContainAdapter	getFinalTimeSinceReport	timeUnits
Contain	output	Fire	Containment				Fireline Constructed	SIGContainAdapter	getFinalFireLineLength	lengthUnits
Contain	input	Fire	Fire Size at Report				Fire Size at Report	SIGContainAdapter	setReportSize	reportSize
Contain	input	Suppression	Line Construction Offset				Line Construction Offset	SIGContainAdapter	setAttackDistance	attackDistance
Contain	input	Suppression	Tactic				Tactic	SIGContainAdapter	setTactic	tactic
Contain	input	Suppression	Resources				Resource Duration	SIGContainAdapter	addResource	duration
Contain	input	Suppression	Resources				Resource Arrival Time	SIGContainAdapter	addResource	arrival
Contain	input	Suppression	Resources				Resource Name	SIGContainAdapter	addResource	description
Contain	input	Suppression	Resources				Resource Line Production Rate	SIGContainAdapter	addResource	productionRate
Contain	input	Fire	Surface Rate of Spread (maximum)				Surface Fire Rate of Spread (maximum)	SIGContainAdapter	setReportRate	reportRate
Contain	input	Fire	Length-to-Width Ratio				Length-to-Width Ratio	SIGContainAdapter	setLwRatio	lwRatio
Surface   	output 	Special Case Fuel Models            	Western Aspen                    	Fuel Load                              	 Live Woody Fuel Load                    	                       	Live Woody Fuel Load                    	SIGSurface     	getAspenLoadDeadOneHour                                   	                                      	
Surface   	output 	Special Case Fuel Models            	Western Aspen                    	Fuel Load                              	 Live Herbaceous Fuel Load               	                       	Live Herbaceous Fuel Load               	SIGSurface     	getAspenLoadLiveHerbaceous                                	                                      	
Surface   	output 	Special Case Fuel Models            	Western Aspen                    	Surface Area-to-Volume Ratio (SA/V)    	 1-h SA/V                                	                       	1-h SA/V                                	Surface        	getAspenSavrDeadOneHour                                   	                                      	
Surface   	output 	Special Case Fuel Models            	Western Aspen                    	Surface Area-to-Volume Ratio (SA/V)    	 Live Woody SA/V                         	                       	Live Woody SA/V                         	Surface        	getAspenSavrLiveWoody                                     	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Fuel Load                              	 Create output for fuel characteristics? 	                       	Create output for fuel characteristics? 	               	                                                          	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Fuel Load                              	 Total Dead Fuel Load                    	                       	Total Dead Fuel Load                    	SIGSurface     	getChaparralTotalDeadFuelLoad                             	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Fuel Load                              	 Total Live Fuel Load                    	                       	Total Live Fuel Load                    	SIGSurface     	getChaparralTotalLiveFuelLoad                             	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Dead Fuel Load                         	 Less than: 0.25 Inches                  	                       	Less than: 0.25 Inches                  	SIGSurface     	getChaparralLoadDeadLessThanQuarterInch                   	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Dead Fuel Load                         	 From 0.25 Inches to 0.50 inches         	                       	From 0.25 Inches to 0.50 inches         	SIGSurface     	getChaparralLoadDeadQuarterInchToLessThanHalfInch         	                                      	
Surface   	output 	Special Case Fuel Models            	Chaparral                        	Dead Fuel Load                         	 From 0.50 Inches to 1.0 inches          	                       	From 0.50 Inches to 1.0 inches          	SIGSurface     	getChaparralLoadDeadHalfInchToLessThanOneInch             	                                      	
